,redness,elongation,fruit
a01.png,41.475903614457835,1.2376450221709094,1
a02.png,57.08873720136519,1.1609650155616422,1
a03.png,67.73037542662117,1.3149977888910365,1
a04.png,42.58805031446542,1.5122879777416163,1
a05.png,43.53495440729483,1.7279533322782898,1
a06.png,30.50877192982456,1.5141545462273196,1
a07.png,24.319277108433738,1.6201476634745355,1
a08.png,22.362857142857138,1.080603252938787,1
a09.png,-3.6626506024096273,1.275757862285169,1
a10.png,2.783088235294116,1.1090582516390026,1
b01.png,0.0,1.9888231123525386,-1
b02.png,5.476635514018682,2.1939200607590474,-1
b03.png,11.185365853658539,2.2286088281134213,-1
b04.png,12.865030674846622,2.309855431744287,-1
b05.png,16.480446927374302,2.213567261171929,-1
b06.png,17.875576036866335,1.7541437619543525,-1
b07.png,14.752252252252262,1.3803473784411615,-1
b08.png,20.959349593495915,2.05194794547897,-1
b09.png,63.22891566265061,2.390629388794814,-1
b10.png,68.2741116751269,2.3601514322063015,-1
